domestic ,international,total
861825,155046,1016871
723987,120735,844722
773015,121996,895011
9051373,1665945,10717318
619641,102780,722421
641163,98632,739795
752282,119039,871321
769225,112652,881877
778831,126736,905567
841934,165853,1007787
878637,166952,1045589
902448,177033,1079481
724179,146858,871037
896617,149739,1046356
771457,126356,897813
783575,130342,913917
9359989,1622972,10982961
664078,106611,770689
776275,105281,881556
877732,143866,1021598
952022,145874,1097896
893518,163598,1057116
987918,182301,1170219
1008852,183432,1192284
1044857,191579,1236436
837616,166226,1003842
1012673,162212,1174885
894009,128991,1023000
867802,131449,999251
10817352,1811420,12628772
733148,117527,850675
816257,115347,931604
949957,141720,1091677
997140,156546,1153686
967626,180087,1147713
995524,192300,1187824
1045969,191669,1237638
1034299,189526,1223825
884211,173570,1057781
972251,163970,1136221
933461,132287,1065748
885114,133726,1018840
11214957,1888275,13103232
790551,113711,904262
840925,111792,952717
1017642,147291,1164933
1031780,154929,1186709
984342,167619,1151961
1022824,182709,1205533
1053820,183087,1236907
1059102,181167,1240269
881299,188417,1069716
1045018,157827,1202845
973249,124199,1097448
925937,127902,1053839
11626489,1840650,13467139
819055,109257,928312
837892,103938,941830
1028402,140975,1169377
1055570,143704,1199274
1038814,164381,1203195
1080692,190575,1271267
1098776,184649,1283425
1137134,196901,1334035
901151,175975,1077126
1055018,168147,1223165
949635,136008,1085643
851131,133860,984991
11853270,1848370,13701640
763846,116309,880155
838410,112316,950726
951901,141883,1093784
1001920,148934,1150854
976416,151071,1127487
1016808,170851,1187659
1042481,158594,1201075
1053086,182898,1235984
824331,156732,981063
932013,148339,1080352
798474,118592,917066
825896,124282,950178
11025582,1730801,12756383
669584,105773,775357
741142,102589,843731
858360,130860,989220
924771,149854,1074625
916189,142557,1058746
953409,173924,1127333
1048288,181709,1229997
1063442,188074,1251516
885058,157187,1042245
1003404,146500,1149904
864394,122303,986697
870135,134512,1004647
10798176,1735842,12534018
747377,112245,859622
771837,107489,879326
945457,139553,1085010
1013205,145057,1158262
989513,162982,1152495
1024778,187847,1212625
1095972,187876,1283848
1141492,193845,1335337
962202,176349,1138551
1106907,167699,1274606
987393,131384,1118777
919973,123355,1043328
11706106,1835681,13541787
788143,106745,894888
806685,99169,905854
1013276,131715,1144991
1037339,164503,1201842
1077739,190139,1267878
1101076,212752,1313828
1173957,206655,1380612
1159265,211716,1370981
992464,195227,1187691
1093102,174470,1267572
992644,133522,1126166
941340,143206,1084546
12177030,1969819,14146849
828007,117105,945112
863957,110237,974194
1027666,146482,1174148
1065672,162410,1228082
1082526,180512,1263038
1095621,217519,1313140
1147085,210500,1357585
1184085,226173,1410258
967462,193257,1160719
1048347,170963,1219310
1006294,138842,1145136
937869,143018,1080887
12254591,2017018,14271609
851838,118797,970635
839888,105266,945154
1025387,152966,1178353
1069384,171528,1240912
1113009,189456,1302465
1151250,221632,1372882
1226855,215910,1442765
1242467,234499,1476966
1018561,200324,1218885
1143967,175539,1319506
998101,133130,1131231
1033100,154231,1187331
12713807,2073278,14787085
848220,122490,970710
851395,115631,967026
1067856,156477,1224333
1141431,183023,1324454
1171691,216189,1387880
1185736,249500,1435236
1275522,248944,1524466
1266971,262990,1529961
1083619,217911,1301530
1192073,188805,1380878
1033434,161342,1194776
1060185,179266,1239451
13178133,2302568,15480701
860428,145285,1005713
841979,127623,969602
1123522,171416,1294938
1189899,197188,1387087
1217111,237672,1454783
1238512,270494,1509006
1355142,265848,1620990
1340996,278922,1619918
1135050,231383,1366433
1278149,223835,1501984
1119375,168221,1287596
1088298,205576,1293874
13788461,2523463,16311924
941623,174391,1116014
976930,159021,1135951
1168850,209288,1378138
1218548,244853,1463401
1280593,277305,1557898
1337990,320881,1658871
1405695,323003,1728698
1405135,332897,1738032
1210196,289165,1499361
1324186,255836,1580022
1219288,215214,1434502
1163963,258389,1422352
14652997,3060243,17713240
1033936,213831,1247767
999905,184753,1184658
1235820,246149,1481969
1299133,278646,1577779
1356118,325257,1681375
1374806,352819,1727625
1433541,350338,1783879
1464437,361572,1826009
1220076,309234,1529310
1418973,280333,1699306
1280727,240425,1521152
1210681,261358,1472039
15328153,3404715,18732868
1027783,209812,1237595
1096046,206561,1302607
